Africa Eastern and Southern,AFE,Mobile cellular subscriptions,IT.CEL.SETS,Year,Subscribers
Poland,POL,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Pre-demographic dividend,PRE,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Puerto Rico,PRI,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
"Korea, Dem. People's Rep.",PRK,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Portugal,PRT,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Paraguay,PRY,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Pacific island small states,PSS,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Post-demographic dividend,PST,Mobile cellular subscriptions,IT.CEL.SETS,0.11,145291.0
French Polynesia,PYF,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Qatar,QAT,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Romania,ROU,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Russian Federation,RUS,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Rwanda,RWA,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
South Asia,SAS,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Sudan,SDN,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Senegal,SEN,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Singapore,SGP,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Solomon Islands,SLB,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Sierra Leone,SLE,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
El Salvador,SLV,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Somalia,SOM,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Sub-Saharan Africa (excluding high income),SSA,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Sub-Saharan Africa,SSF,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Small states,SST,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Sao Tome and Principe,STP,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Suriname,SUR,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Slovak Republic,SVK,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Slovenia,SVN,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Sweden,SWE,Mobile cellular subscriptions,IT.CEL.SETS,0.11,36294.0
Eswatini,SWZ,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Seychelles,SYC,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Syrian Arab Republic,SYR,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Turks and Caicos Islands,TCA,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Chad,TCD,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
East Asia & Pacific (IDA & IBRD countries),TEA,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Europe & Central Asia (IDA & IBRD countries),TEC,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Togo,TGO,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Thailand,THA,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Tajikistan,TJK,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Turkmenistan,TKM,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Middle East & North Africa (IDA & IBRD countries),TMN,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Tonga,TON,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
South Asia (IDA & IBRD),TSA,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Trinidad and Tobago,TTO,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Tunisia,TUN,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Turkiye,TUR,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Tuvalu,TUV,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Tanzania,TZA,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Uganda,UGA,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Ukraine,UKR,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Upper middle income,UMC,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Uruguay,URY,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Uzbekistan,UZB,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
St. Vincent and the Grenadines,VCT,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
"Venezuela, RB",VEN,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
British Virgin Islands,VGB,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Virgin Islands (U.S.),VIR,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Viet Nam,VNM,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Vanuatu,VUT,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
World,WLD,Mobile cellular subscriptions,IT.CEL.SETS,0.11,148855.0
Samoa,WSM,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
"Yemen, Rep.",YEM,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
South Africa,ZAF,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Zambia,ZMB,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Zimbabwe,ZWE,Mobile cellular subscriptions,IT.CEL.SETS,0.11,0.0
Afghanistan,AFG,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Africa Western and Central,AFW,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Angola,AGO,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Albania,ALB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Andorra,AND,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Arab World,ARB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,4936.0
United Arab Emirates,ARE,Mobile cellular subscriptions,IT.CEL.SETS,0.12,4936.0
Argentina,ARG,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Armenia,ARM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
American Samoa,ASM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Antigua and Barbuda,ATG,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Australia,AUS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Austria,AUT,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Azerbaijan,AZE,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Burundi,BDI,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Belgium,BEL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Benin,BEN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Burkina Faso,BFA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Bangladesh,BGD,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Bulgaria,BGR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Bahrain,BHR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
"Bahamas, The",BHS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Bosnia and Herzegovina,BIH,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Belarus,BLR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Belize,BLZ,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Bermuda,BMU,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Bolivia,BOL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Brazil,BRA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Barbados,BRB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Brunei Darussalam,BRN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Bhutan,BTN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Botswana,BWA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Central African Republic,CAF,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Canada,CAN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Central Europe and the Baltics,CEB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Switzerland,CHE,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Chile,CHL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
China,CHN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Cote d'Ivoire,CIV,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Cameroon,CMR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
"Congo, Dem. Rep.",COD,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
"Congo, Rep.",COG,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Colombia,COL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Comoros,COM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Cabo Verde,CPV,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Costa Rica,CRI,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Caribbean small states,CSS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Cuba,CUB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Cayman Islands,CYM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Cyprus,CYP,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Czechia,CZE,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Germany,DEU,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Djibouti,DJI,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Dominica,DMA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Denmark,DNK,Mobile cellular subscriptions,IT.CEL.SETS,0.12,30600.0
Dominican Republic,DOM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Algeria,DZA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
East Asia & Pacific (excluding high income),EAP,Mobile cellular subscriptions,IT.CEL.SETS,0.12,1750.0
Early-demographic dividend,EAR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,1750.0
East Asia & Pacific,EAS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,43142.0
Europe & Central Asia (excluding high income),ECA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Europe & Central Asia,ECS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,179574.0
Ecuador,ECU,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
"Egypt, Arab Rep.",EGY,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Euro area,EMU,Mobile cellular subscriptions,IT.CEL.SETS,0.12,52010.0
Eritrea,ERI,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Estonia,EST,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Ethiopia,ETH,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
European Union,EUU,Mobile cellular subscriptions,IT.CEL.SETS,0.12,140524.0
Fragile and conflict affected situations,FCS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Finland,FIN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,52010.0
Fiji,FJI,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
France,FRA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Faroe Islands,FRO,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
"Micronesia, Fed. Sts.",FSM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Gabon,GAB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
United Kingdom,GBR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Georgia,GEO,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Ghana,GHA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Gibraltar,GIB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Guinea,GIN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
"Gambia, The",GMB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Guinea-Bissau,GNB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Equatorial Guinea,GNQ,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Greece,GRC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Grenada,GRD,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Greenland,GRL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Guatemala,GTM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Guam,GUM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Guyana,GUY,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
High income,HIC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,317502.0
"Hong Kong SAR, China",HKG,Mobile cellular subscriptions,IT.CEL.SETS,0.12,1000.0
Honduras,HND,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Heavily indebted poor countries (HIPC),HPC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Croatia,HRV,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Haiti,HTI,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Hungary,HUN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
IBRD only,IBD,Mobile cellular subscriptions,IT.CEL.SETS,0.12,1750.0
IDA & IBRD total,IBT,Mobile cellular subscriptions,IT.CEL.SETS,0.12,1750.0
IDA total,IDA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
IDA blend,IDB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Indonesia,IDN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,1750.0
IDA only,IDX,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
India,IND,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Ireland,IRL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
"Iran, Islamic Rep.",IRN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Iraq,IRQ,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Iceland,ISL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Italy,ITA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Jamaica,JAM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Jordan,JOR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Japan,JPN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,40392.0
Kazakhstan,KAZ,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Kenya,KEN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Kyrgyz Republic,KGZ,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Cambodia,KHM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Kiribati,KIR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
St. Kitts and Nevis,KNA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Kuwait,KWT,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Latin America & Caribbean (excluding high income),LAC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Lao PDR,LAO,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Lebanon,LBN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Liberia,LBR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Libya,LBY,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
St. Lucia,LCA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Latin America & Caribbean,LCN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Least developed countries: UN classification,LDC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Low income,LIC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Sri Lanka,LKA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Lower middle income,LMC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Low & middle income,LMY,Mobile cellular subscriptions,IT.CEL.SETS,0.12,1750.0
Lesotho,LSO,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Late-demographic dividend,LTE,Mobile cellular subscriptions,IT.CEL.SETS,0.12,4936.0
Lithuania,LTU,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Luxembourg,LUX,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Latvia,LVA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
"Macao SAR, China",MAC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Morocco,MAR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Monaco,MCO,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Moldova,MDA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Madagascar,MDG,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Maldives,MDV,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Middle East & North Africa,MEA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,4936.0
Mexico,MEX,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Marshall Islands,MHL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Middle income,MIC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,1750.0
North Macedonia,MKD,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Mali,MLI,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Malta,MLT,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Myanmar,MMR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Middle East & North Africa (excluding high income),MNA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Mongolia,MNG,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Northern Mariana Islands,MNP,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Mozambique,MOZ,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Mauritania,MRT,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Mauritius,MUS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Malawi,MWI,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Malaysia,MYS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
North America,NAC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,91600.0
Namibia,NAM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
New Caledonia,NCL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Niger,NER,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Nigeria,NGA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Nicaragua,NIC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Netherlands,NLD,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Norway,NOR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,39050.0
Nepal,NPL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Nauru,NRU,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
New Zealand,NZL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
OECD members,OED,Mobile cellular subscriptions,IT.CEL.SETS,0.12,311566.0
Oman,OMN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Other small states,OSS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Pakistan,PAK,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Panama,PAN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Peru,PER,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Philippines,PHL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Papua New Guinea,PNG,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Poland,POL,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Pre-demographic dividend,PRE,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Puerto Rico,PRI,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
"Korea, Dem. People's Rep.",PRK,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Portugal,PRT,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Paraguay,PRY,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Pacific island small states,PSS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Post-demographic dividend,PST,Mobile cellular subscriptions,IT.CEL.SETS,0.12,312566.0
French Polynesia,PYF,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Qatar,QAT,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Romania,ROU,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Russian Federation,RUS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Rwanda,RWA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
South Asia,SAS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Sudan,SDN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Senegal,SEN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Solomon Islands,SLB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Sierra Leone,SLE,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
El Salvador,SLV,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Somalia,SOM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Sub-Saharan Africa (excluding high income),SSA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Sub-Saharan Africa,SSF,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Small states,SST,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Sao Tome and Principe,STP,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Suriname,SUR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Slovak Republic,SVK,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Slovenia,SVN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Sweden,SWE,Mobile cellular subscriptions,IT.CEL.SETS,0.12,57914.0
Eswatini,SWZ,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Seychelles,SYC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Syrian Arab Republic,SYR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Turks and Caicos Islands,TCA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Chad,TCD,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
East Asia & Pacific (IDA & IBRD countries),TEA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,1750.0
Europe & Central Asia (IDA & IBRD countries),TEC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Togo,TGO,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Thailand,THA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Tajikistan,TJK,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Turkmenistan,TKM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Middle East & North Africa (IDA & IBRD countries),TMN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Tonga,TON,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
South Asia (IDA & IBRD),TSA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Trinidad and Tobago,TTO,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Tunisia,TUN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Turkiye,TUR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Tuvalu,TUV,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Tanzania,TZA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Uganda,UGA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Ukraine,UKR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Upper middle income,UMC,Mobile cellular subscriptions,IT.CEL.SETS,0.12,1750.0
Uruguay,URY,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
United States,USA,Mobile cellular subscriptions,IT.CEL.SETS,0.12,91600.0
Uzbekistan,UZB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
St. Vincent and the Grenadines,VCT,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
"Venezuela, RB",VEN,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
British Virgin Islands,VGB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Virgin Islands (U.S.),VIR,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Viet Nam,VNM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Vanuatu,VUT,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
World,WLD,Mobile cellular subscriptions,IT.CEL.SETS,0.12,319252.0
Samoa,WSM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
"Yemen, Rep.",YEM,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
South Africa,ZAF,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Zambia,ZMB,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Zimbabwe,ZWE,Mobile cellular subscriptions,IT.CEL.SETS,0.12,0.0
Afghanistan,AFG,Mobile cellular subscriptions,IT.CEL.SETS,0.13,0.0
Africa Western and Central,AFW,Mobile cellular subscriptions,IT.CEL.SETS,0.13,0.0
Angola,AGO,Mobile cellular subscriptions,IT.CEL.SETS,0.13,0.0
Albania,ALB,Mobile cellular subscriptions,IT.CEL.SETS,0.13,0.0
Andorra,AND,Mobile cellular subscriptions,IT.CEL.SETS,0.13,0.0
Arab World,ARB,Mobile cellular subscriptions,IT.CEL.SETS,0.13,7976.0
United Arab Emirates,ARE,Mobile cellular subscriptions,IT.CEL.SETS,0.13,7924.0
Argentina,ARG,Mobile cellular subscriptions,IT.CEL.SETS,0.13,0.0
Armenia,ARM,Mobile cellular subscriptions,IT.CEL.SETS,0.13,0.0
